Country,Longitude,Latitude,Artist,Listeners,longitude_offset,latitude_offset
Guatemala,15.7835,-90.2308,Queen,5891543,17.690337965642463,-91.73801775796373
Guatemala,15.7835,-90.2308,Daft Punk,5226051,17.307206916917686,-89.00269214237451
Guatemala,15.7835,-90.2308,Red Hot Chili Peppers,6036073,15.752746710222254,-88.63809875848078
Guatemala,15.7835,-90.2308,Nirvana,6095792,16.631218945698084,-90.46566105485186
Guatemala,15.7835,-90.2308,The Weeknd,3979631,14.300005174205829,-88.57843518743123
Guatemala,15.7835,-90.2308,The Beatles,5334045,13.861876245127867,-88.52299711756076
Guatemala,15.7835,-90.2308,Gorillaz,5427092,16.38736678236393,-89.05085351175366
Guatemala,15.7835,-90.2308,Guns N' Roses,4333804,14.801569468939102,-88.95584084888597
Honduras,15.2,-86.2419,Coldplay,7483430,15.724777523433723,-87.43958728996056
Honduras,15.2,-86.2419,Radiohead,6589277,15.19004626582375,-86.52997052002468
Honduras,15.2,-86.2419,Queen,5891543,16.94709272767607,-84.33180060271047
Honduras,15.2,-86.2419,Soda Stereo,541217,16.851050905750512,-85.42961246663053
Honduras,15.2,-86.2419,The Weeknd,3979631,14.196277304960361,-85.99264400183316
Honduras,15.2,-86.2419,Gorillaz,5427092,16.75048624676166,-87.64408629360864
Honduras,15.2,-86.2419,Daft Punk,5226051,13.503176767982039,-87.82040894618699
Honduras,15.2,-86.2419,Calvin Harris,3970548,13.461092635762576,-85.99916954567642
Honduras,15.2,-86.2419,The Beatles,5334045,15.089133035384473,-86.1177921139253
Honduras,15.2,-86.2419,Pink Floyd,4426284,13.735772876679116,-86.519895264002
Nicaragua,12.8654,-85.2072,Coldplay,7483430,14.25874371377951,-84.85671130716453
Nicaragua,12.8654,-85.2072,Queen,5891543,11.107212421871761,-84.90372939890656
Nicaragua,12.8654,-85.2072,Shakira,3850339,11.413118488050301,-86.4439444534888
Nicaragua,12.8654,-85.2072,Rihanna,6777743,12.150296652300451,-86.35686646171655
Nicaragua,12.8654,-85.2072,The Weeknd,3979631,10.909090118176476,-85.50614587155805
Nicaragua,12.8654,-85.2072,Radiohead,6589277,12.069152771575496,-85.54069331854213
Nicaragua,12.8654,-85.2072,David Bowie,4621259,12.428785053204656,-84.18232288002218
Nicaragua,12.8654,-85.2072,Sia,3515677,12.328730939480332,-83.86434076083063
Nicaragua,12.8654,-85.2072,Elton John,4214075,14.51017717126894,-85.02421337187594
Nicaragua,12.8654,-85.2072,Drake,5588059,14.404647250919258,-85.19346832866552
Costa Rica,9.7489,-83.7534,Radiohead,6589277,11.099209465747077,-85.43970518708385
Costa Rica,9.7489,-83.7534,Queen,5891543,10.358115139905088,-83.66302062970955
Costa Rica,9.7489,-83.7534,Red Hot Chili Peppers,6036073,9.463576817038092,-82.32157748851996
Costa Rica,9.7489,-83.7534,Pink Floyd,4426284,8.789485552259473,-85.55658021107277
Costa Rica,9.7489,-83.7534,Coldplay,7483430,10.596159964899108,-83.76334783021315
Costa Rica,9.7489,-83.7534,David Bowie,4621259,8.004046196790506,-83.01022693519451
Costa Rica,9.7489,-83.7534,Daft Punk,5226051,7.927482541718884,-82.30580367668492
Costa Rica,9.7489,-83.7534,Gorillaz,5427092,10.247794289324286,-83.25859095921484
Costa Rica,9.7489,-83.7534,Nirvana,6095792,9.433591402321554,-82.9344218486561
Costa Rica,9.7489,-83.7534,The Cure,4338832,9.091896275168857,-81.77895898732442
Panama,8.538,-80.7821,The Weeknd,3979631,8.733448028379136,-82.14814117490886
Panama,8.538,-80.7821,Queen,5891543,8.445672798106457,-79.15266954423186
Panama,8.538,-80.7821,Drake,5588059,8.257149823620189,-81.20959339778437
Panama,8.538,-80.7821,Coldplay,7483430,7.0487231739875025,-80.09942717071853
Panama,8.538,-80.7821,Maroon 5,5305919,7.746610209696331,-79.78511106221141
Panama,8.538,-80.7821,Linkin Park,5427114,10.207264252633681,-80.17667440348086
Panama,8.538,-80.7821,Ed Sheeran,3323699,6.609905424473281,-80.23798347306582
Panama,8.538,-80.7821,Calvin Harris,3970548,7.8588661169393035,-81.49274748140542
Panama,8.538,-80.7821,Rihanna,6777743,7.300143214664443,-80.13620858004161
Panama,8.538,-80.7821,Radiohead,6589277,9.738342988821977,-81.85053904542973
Cuba,21.5218,-77.7812,Lana Del Rey,4089352,21.138819312903106,-78.43861459403546
Cuba,21.5218,-77.7812,The Beatles,5334045,21.29652142980761,-78.1755074742173
Cuba,21.5218,-77.7812,Eminem,6528962,21.95985302895541,-77.46893425432208
Cuba,21.5218,-77.7812,Daft Punk,5226051,22.9500327721937,-77.70295895740689
Cuba,21.5218,-77.7812,The Cure,4338832,20.30394140695574,-79.22378433092342
Cuba,21.5218,-77.7812,Fleetwood Mac,3704944,20.821591850851355,-76.75734513143715
Cuba,21.5218,-77.7812,U2,4287443,19.528298997637133,-77.17458978272317
Cuba,21.5218,-77.7812,Sia,3515677,22.54062266466392,-78.36986768141183
Cuba,21.5218,-77.7812,Elton John,4214075,23.165637291780758,-78.94766617852612
Cuba,21.5218,-77.7812,Justin Timberlake,4266768,21.687302645449122,-75.92988689032025
Dominican Republic,18.7357,-70.1627,The Weeknd,3979631,17.400826920111154,-71.28797780900798
Dominican Republic,18.7357,-70.1627,Coldplay,7483430,18.445705620846482,-70.42984776619431
Dominican Republic,18.7357,-70.1627,Queen,5891543,17.908323693336918,-71.86699000992036
Dominican Republic,18.7357,-70.1627,Drake,5588059,16.7524398059935,-70.75526087340754
Dominican Republic,18.7357,-70.1627,Radiohead,6589277,17.68192802189605,-68.41299274084368
Dominican Republic,18.7357,-70.1627,Calvin Harris,3970548,17.47133144266891,-69.56042967645534
Dominican Republic,18.7357,-70.1627,Maroon 5,5305919,17.709903541936168,-69.57597733102547
Dominican Republic,18.7357,-70.1627,Michael Jackson,5325643,20.169942319678213,-70.33023382747298
Dominican Republic,18.7357,-70.1627,Soda Stereo,541217,17.016824791846812,-69.6094569833687
Dominican Republic,18.7357,-70.1627,Daft Punk,5226051,18.079393866012463,-68.79536212114482
Brazil,-14.235,-51.9253,Rihanna,6777743,-15.079334423103724,-52.03623643976134
Brazil,-14.235,-51.9253,Coldplay,7483430,-12.875975208436756,-50.46727250325728
Brazil,-14.235,-51.9253,Queen,5891543,-13.882855352744919,-53.210991887779876
Brazil,-14.235,-51.9253,Arctic Monkeys,5680270,-15.423209744568666,-51.27375539409914
Brazil,-14.235,-51.9253,Red Hot Chili Peppers,6036073,-12.901069136480928,-51.98247672663445
Brazil,-14.235,-51.9253,The Weeknd,3979631,-16.200235439542304,-51.05079283642658
Brazil,-14.235,-51.9253,Beyoncé,5535439,-14.903898034967774,-49.9378049838135
Brazil,-14.235,-51.9253,The Beatles,5334045,-15.504030235391031,-51.776237699034915
Brazil,-14.235,-51.9253,Lady Gaga,5909551,-15.566557722867161,-53.07723375418761
Brazil,-14.235,-51.9253,Maroon 5,5305919,-14.509341306939003,-53.71666529716087
Argentina,-38.4161,-63.6167,Radiohead,6589277,-37.13250742293327,-64.91135208430957
Argentina,-38.4161,-63.6167,Queen,5891543,-37.338140085715935,-63.582991547650344
Argentina,-38.4161,-63.6167,David Bowie,4621259,-37.64115588418808,-63.218924643638445
Argentina,-38.4161,-63.6167,Red Hot Chili Peppers,6036073,-36.71990254545202,-63.120481842210125
Argentina,-38.4161,-63.6167,Soda Stereo,541217,-36.42071417389328,-64.53222799018415
Argentina,-38.4161,-63.6167,The Beatles,5334045,-38.117982210121646,-65.4032187523427
Argentina,-38.4161,-63.6167,The Rolling Stones,5025373,-37.518976026967124,-64.76364165765081
Argentina,-38.4161,-63.6167,Coldplay,7483430,-40.395518333939535,-62.302991502805796
Argentina,-38.4161,-63.6167,Gustavo Cerati,385014,-38.66372239562883,-65.39151418203141
Argentina,-38.4161,-63.6167,Daft Punk,5226051,-38.5119136236732,-63.08163503719121
Colombia,4.5709,-74.2973,Queen,5891543,5.016473951088998,-74.41136654189482
Colombia,4.5709,-74.2973,Radiohead,6589277,4.020118123887702,-73.80928808961875
Colombia,4.5709,-74.2973,Coldplay,7483430,6.387124509851249,-73.12281427004491
Colombia,4.5709,-74.2973,Daft Punk,5226051,4.888009292858765,-75.06648547138069
Colombia,4.5709,-74.2973,Red Hot Chili Peppers,6036073,3.0199006960050365,-74.8808361977619
Colombia,4.5709,-74.2973,Soda Stereo,541217,4.114664603993754,-73.5703667126435
Colombia,4.5709,-74.2973,Arctic Monkeys,5680270,4.393193314781308,-74.87396019943722
Colombia,4.5709,-74.2973,The Rolling Stones,5025373,4.360374136016769,-75.89260595148819
Colombia,4.5709,-74.2973,Nirvana,6095792,5.727485147878857,-74.02685045983401
Colombia,4.5709,-74.2973,Gorillaz,5427092,3.7799547734602754,-75.68444868619088
Chile,-35.6751,-71.543,Radiohead,6589277,-34.9964928960858,-70.5792136769989
Chile,-35.6751,-71.543,Queen,5891543,-36.53589560524937,-69.55647949882078
Chile,-35.6751,-71.543,David Bowie,4621259,-35.54283888129212,-73.03070189487212
Chile,-35.6751,-71.543,Daft Punk,5226051,-33.76926699102246,-72.26125125272468
Chile,-35.6751,-71.543,Coldplay,7483430,-37.25919102316658,-70.54724415186621
Chile,-35.6751,-71.543,The Cure,4338832,-36.706897179650475,-71.50025042274596
Chile,-35.6751,-71.543,The Beatles,5334045,-36.843438258498,-72.51598085818772
Chile,-35.6751,-71.543,Red Hot Chili Peppers,6036073,-35.280609477502935,-69.90838878463707
Chile,-35.6751,-71.543,Blur,3941605,-35.69634182063352,-71.25323791230873
Chile,-35.6751,-71.543,Arctic Monkeys,5680270,-36.63419597856906,-72.84623731917115
Peru,-9.19,-75.0152,Coldplay,7483430,-9.830911501076114,-74.7534618152373
Peru,-9.19,-75.0152,Radiohead,6589277,-8.20779246137254,-74.69389346141115
Peru,-9.19,-75.0152,Queen,5891543,-7.898197899213867,-76.35444108799501
Peru,-9.19,-75.0152,Daft Punk,5226051,-9.83947997656473,-75.44773814129533
Peru,-9.19,-75.0152,Red Hot Chili Peppers,6036073,-9.829068167704424,-76.1255274092391
Peru,-9.19,-75.0152,Soda Stereo,541217,-7.714763543509329,-76.72333191286145
Peru,-9.19,-75.0152,The Beatles,5334045,-10.004595051791435,-75.87616469437793
Peru,-9.19,-75.0152,David Bowie,4621259,-9.817591959650885,-74.06259104909115
Peru,-9.19,-75.0152,Nirvana,6095792,-11.152203895669338,-75.32904476223548
Peru,-9.19,-75.0152,The Cure,4338832,-7.742626620041127,-73.05981782800846
Venezuela,6.4238,-66.5897,Coldplay,7483430,8.006182026031123,-65.54200121960329
Venezuela,6.4238,-66.5897,Radiohead,6589277,5.93034501227624,-64.71766949719742
Venezuela,6.4238,-66.5897,The Weeknd,3979631,4.99392813632659,-65.70290035143893
Venezuela,6.4238,-66.5897,Daft Punk,5226051,4.66500714502718,-65.57145454079661
Venezuela,6.4238,-66.5897,Queen,5891543,8.234428896709769,-66.60112746495037
Venezuela,6.4238,-66.5897,Red Hot Chili Peppers,6036073,6.479064126617183,-68.12665847064329
Venezuela,6.4238,-66.5897,Rihanna,6777743,4.9064325281897805,-65.42377868845443
Venezuela,6.4238,-66.5897,Foo Fighters,5341425,6.197000022398132,-66.18658353907612
Venezuela,6.4238,-66.5897,The Beatles,5334045,6.521449673664658,-66.8199762034904
Venezuela,6.4238,-66.5897,Gorillaz,5427092,5.530881154913867,-67.1792229924567
Ecuador,-1.8312,-78.1834,Coldplay,7483430,-0.23638486503186984,-76.54750318975012
